State Code,State Name,Year,Month,Intra_State_No_Of_Suppliers,Intra_State_No_Of_Eway_Bills,Intra_State_Asset_Value_Rs._In_Cr,Inter_State_Outward_No_Of_Suppliers,Inter_State_Outward_No_Of_Eway_Bills,Inter_State_Outward_Asset_Value_Rs_ In_Cr,Inter_State_Inward_No_Of_Suppliers,Inter_State_Inward_No_Of_Eway_Bills,Inter_State_Inward_Asset_Value_Rs._In_Cr
23, MADHYA PRADESH,2018,12,14327,282038,75583635968,18105,390973,197000000000,62130,765049,241000000000
24, GUJARAT,2018,12,100938,2860956,755871678599,115971,3562358,877000000000,116292,1390899,642000000000
25, DAMAN AND DIU,2018,12,1053,33127,10825382504,1643,190353,50721856370,2320,79211,44016815796
26, DADRA AND NAGAR HAVELI,2018,12,1172,52368,20285287699,1979,264359,98796123519,2908,112979,76372829209
27, MAHARASHTRA,2018,12,112821,4247934,1107742048724,99069,2922593,1060000000000,178645,2247096,1010000000000
29, KARNATAKA,2018,12,78681,2784373,530322774033,42861,1248527,463000000000,91763,1366423,512000000000
30, GOA,2018,12,1342,64837,10973450495,1466,55389,38992450409,7017,102720,35792526061
31, LAKSHADWEEP,2018,12,0,0,0,1,1,3,34,248,39771672
32, KERALA,2018,12,30591,990676,156546559657,12772,155162,60027012499,48855,680778,158000000000
33, TAMIL NADU,2018,12,64968,2964514,632518236706,62934,1641933,634000000000,99310,1515759,611000000000
34, PUDUCHERRY,2018,12,823,26821,8712337212,1950,101954,30860045932,4973,88335,25684491111
35, ANDAMAN AND NICOBAR,2018,12,16,189,84941178,45,137,935637740,926,8287,2711622206
36, TELANGANA,2018,12,25872,995776,220524770121,25677,499456,232000000000,51765,745125,282000000000
37, ANDHRA PRADESH,2018,12,30700,1138966,208347854210,18884,370054,246000000000,66647,860638,285000000000
97, Other Territory,2018,12,2,53,408590943,18,1821,9426360772,358,8237,14446501231
1, JAMMU AND KASHMIR,2019,1,4063,116956,2017,2085,27616,1734,14927,138358,3964
2, HIMACHAL PRADESH,2019,1,6624,206442,4037,4632,257550,10032,18584,255311,7936
3, PUNJAB,2019,1,50691,1174531,30039,43879,717660,21561,61472,750761,23882
4, CHANDIGARH,2019,1,2204,26085,418,4790,72445,1319,7882,100227,2139
5, UTTARAKHAND,2019,1,10088,511651,8469,7144,313431,16091,21157,409320,12839
6, HARYANA,2019,1,58093,2301008,43564,51736,1963267,56114,85331,1493020,53206
7, DELHI,2019,1,54367,785793,30468,116143,1571190,38006,109533,1387926,43187
8, RAJASTHAN,2019,1,61346,1355807,29687,44920,1260677,29189,86275,1056100,32944
9, UTTAR PRADESH,2019,1,100021,2876550,58847,66301,1204694,46027,159299,2167683,64878
10, BIHAR,2019,1,5207,253109,5927,6030,56026,2239,50759,697147,13431
11, SIKKIM,2019,1,98,3305,57,171,6618,1870,1439,24773,735
12, ARUNACHAL PRADESH,2019,1,106,3276,46,195,1867,80,2231,21504,432
13, NAGALAND,2019,1,59,632,23,265,5021,97,2167,19413,423
14, MANIPUR,2019,1,40,3000,50,78,393,10,2235,22612,537
15, MIZORAM,2019,1,13,841,9,80,703,172,1412,14854,348
16, TRIPURA,2019,1,626,15910,278,288,1691,170,3453,29845,727
17, MEGHALAYA,2019,1,244,10014,174,360,32627,508,2893,29663,679
18, ASSAM,2019,1,9590,333109,6122,7964,135439,4828,21470,248434,8330
19, WEST BENGAL,2019,1,35216,1174854,35022,36119,632068,26931,54485,872787,33155
20, JHARKHAND,2019,1,8066,383496,9217,6583,207569,12220,22175,356890,11669
21, ODISHA,2019,1,11445,613639,12707,5027,192942,17843,26881,361375,14050
22, CHHATTISGARH,2019,1,5018,182888,5533,7348,179137,11887,21401,352299,10845
23, MADHYA PRADESH,2019,1,14523,288880,7393,18227,372408,18380,62756,811370,25244
24, GUJARAT,2019,1,103012,2900099,73337,116568,3847365,86001,114876,1371163,61672
25, DAMAN AND DIU,2019,1,1077,34521,1040,1666,189092,4739,2331,77185,4576
