State Code,State Name,Year,Month,Intra_State_Supplies_(No._Of_Suppliers),Intra_State_Supplies_(No._Of_Eway_Bills),Intra_State_Supplies(Asset_Value_(Rs._In_Cr.)),Inter_State_Outward_Supplies(No._Of_Suppliers),Inter_State_Outward_Supplies(No._Of_Eway_Bills),Inter_State_Outward_Supplies(Asset_Value_(Rs_ In_Cr.)),Inter_State_Inward_Supplies(No._Of_Suppliers),Inter_State_Inward_Supplies(No._Of_Eway_Bills),Inter_State_Inward_Supplies(Asset_Value_(Rs._In_Cr.))
4,CHANDIGARH,2021,12,"2,312","28,683","42,933.94","5,085","82,429","165,240.46","8,499","127,710","292,049.82"
5,UTTARAKHAND,2021,12,"12,795","570,391","1,063,116.30","9,045","368,873","1,914,451.72","26,576","473,292","1,572,658.50"
6,HARYANA,2021,12,"72,276","2,719,427","5,834,163.01","64,227","3,322,856","7,968,411.93","102,899","2,006,440","7,633,217.87"
7,DELHI,2021,12,"70,034","1,001,262","3,931,119.36","127,826","1,756,820","4,891,420.13","125,996","1,843,788","5,661,701.44"
8,RAJASTHAN,2021,12,"63,861","1,476,753","4,114,338.10","52,835","1,433,027","4,275,969.44","101,110","1,373,408","5,237,196.35"
9,UTTAR PRADESH,2021,12,"124,026","3,635,185","8,052,492.91","85,861","1,686,503","6,801,105.94","188,456","2,546,493","8,593,682.71"
10,BIHAR,2021,12,"7,715","486,947","1,004,605.50","7,999","91,122","357,433.22","55,174","637,179","1,790,190.68"
11,SIKKIM,2021,12,143,"6,883","12,533.91",200,"7,579","313,452.04","1,880","38,331","137,518.07"
12,ARUNACHAL PRADESH,2021,12,156,"2,443","5,750.89",238,"1,985","14,458.67","3,115","34,787","75,385.88"
13,NAGALAND,2021,12,110,"1,498","5,889.49",274,"4,407","12,767.47","2,557","31,946","65,391.59"
14,MANIPUR,2021,12,83,"4,071","10,427.24",140,632,"2,551.28","2,912","49,635","90,455.25"
15,MIZORAM,2021,12,65,"1,240","3,330.98",76,351,"8,272.13","2,008","34,259","61,924.32"
16,TRIPURA,2021,12,"1,469","38,290","82,837.23",479,"3,139","39,839.68","4,419","43,144","106,290.50"
17,MEGHALAYA,2021,12,406,"13,167","36,140.97",473,"33,303","74,950.93","3,845","51,917","111,720.73"
18,ASSAM,2021,12,"12,508","503,094","968,180.86","10,155","228,388","722,036.64","26,451","339,504","1,247,456.34"
19,WEST BENGAL,2021,12,"44,663","1,871,331","4,988,214.01","41,209","862,099","4,050,417.72","65,591","1,200,748","4,671,751.37"
20,JHARKHAND,2021,12,"9,542","508,435","1,204,663.62","7,875","220,454","1,613,323.02","26,672","396,511","4,219,824.66"
21,ODISHA,2021,12,"15,208","911,139","2,108,056.03","6,599","266,736","3,016,403.38","33,182","438,782","2,004,884.74"
22,CHHATTISGARH,2021,12,"5,720","254,909","848,186.83","8,256","171,941","1,811,700.61","25,342","415,133","1,588,676.13"
23,MADHYA PRADESH,2021,12,"23,153","753,391","1,734,788.90","21,683","473,614","2,636,410.04","72,854","948,147","3,392,126.13"
24,GUJARAT,2021,12,"151,611","4,338,035","13,576,166.10","135,271","4,235,914","13,329,680.78","141,062","1,904,249","10,171,321.45"
