State Code,State Name,Year,Month,Intra_State_Supplies_No_Of_Suppliers,Intra_State_Supplies_No_Of_Eway_Bills,Intra_State_Supplies_Asset_Value_Rs_In_Cr,Inter_State_Outward_SuppliesNo_Of_Suppliers,Inter_State_Outward_SuppliesNo_Of_Eway_Bills,Inter_State_Outward_Supplies_Asset_Value_Rs_ In_Cr,Inter_State_Inward_SuppliesNo_Of_Suppliers,Inter_State_Inward_Supplies_No_Of_Eway_Bills,Inter_State_Inward_SuppliesAsset_Value_Rs_In_Cr
27,MAHARASHTRA,2020,11,"116,172","4,947,545","11,472,504.41","98,130","3,308,214","10,276,963.37","177,294","2,428,777","9,575,396.55"
29,KARNATAKA,2020,11,"87,471","3,466,912","5,676,531.68","45,036","1,682,658","4,664,635.72","99,581","1,500,356","4,886,742.04"
30,GOA,2020,11,"1,496","69,892","105,594.02","1,486","57,491","390,538.73","6,459","100,748","338,759.88"
31,LAKSHADWEEP,2020,11,0,0,0,0,0,0,41,335,606.71
32,KERALA,2020,11,"36,755","1,258,985","1,839,795.86","13,321","146,518","712,263.01","48,321","545,359","1,452,012.95"
33,TAMIL NADU,2020,11,"72,423","3,395,230","6,410,836.80","62,012","1,710,450","5,843,868.70","98,639","1,519,837","5,845,283.04"
34,PUDUCHERRY,2020,11,878,"28,872","69,317.50","1,727","97,223","256,239.34","4,860","86,968","217,899.01"
35,ANDAMAN AND NICOBAR,2020,11,13,403,"1,279.02",38,107,"1,225.59",829,"7,938","16,352.71"
36,TELANGANA,2020,11,"36,174","1,687,251","2,912,372.51","30,216","605,022","2,496,126.22","56,129","959,549","3,218,827.27"
37,ANDHRA PRADESH,2020,11,"31,785","1,382,917","2,252,436.46","19,954","395,427","2,748,501.89","67,695","878,202","2,738,387.84"
38,LADAKH,2020,11,16,255,716.02,28,165,"2,775.54",697,"4,826","13,835.85"
97,Other Territory,2020,11,8,85,"9,497.02",27,"3,101","85,049.24",150,"8,916","182,223.48"
1,JAMMU AND KASHMIR,2020,10,"4,508","167,249","2,657.06","2,749","38,569","2,394.45","19,560","262,654","5,833.68"
2,HIMACHAL PRADESH,2020,10,"7,580","282,663","5,201.08","4,973","285,681","11,603.15","23,202","357,768","9,654.11"
3,PUNJAB,2020,10,"63,089","1,775,796","37,160.24","50,576","1,147,070","26,650.69","69,619","1,011,365","27,496.03"
4,CHANDIGARH,2020,10,"2,089","25,166",348.64,"4,913","84,107","1,488.84","8,185","126,020","2,473.60"
5,UTTARAKHAND,2020,10,"11,391","646,246","10,017.22","8,229","366,695","17,748.01","26,357","537,536","13,923.41"
6,HARYANA,2020,10,"66,258","2,958,369","53,271.31","59,104","2,875,220","66,884.60","97,313","1,983,856","65,235.90"
7,DELHI,2020,10,"59,292","902,059","32,912.04","120,749","1,780,885","40,781.77","116,315","1,699,294","46,359.01"
8,RAJASTHAN,2020,10,"72,070","1,763,016","35,175.76","49,984","1,526,897","34,010.04","98,817","1,322,878","37,265.30"
9,UTTAR PRADESH,2020,10,"112,457","3,505,955","67,998.97","77,068","1,483,076","59,900.52","186,772","2,665,949","75,368.16"
10,BIHAR,2020,10,"6,923","434,255","8,186.13","6,516","67,361","2,474.29","57,786","752,897","15,495.93"
11,SIKKIM,2020,10,110,"3,292",54.25,165,"5,948","2,512.12","1,572","27,793",883.33
12,ARUNACHAL PRADESH,2020,10,116,"2,275",39.68,196,"1,200",80.83,"2,803","28,445",533.09
13,NAGALAND,2020,10,94,"1,229",57.58,235,"1,738",76.3,"2,460","34,344",544.89
14,MANIPUR,2020,10,62,"4,143",60.84,127,447,29,"2,534","51,174",719.53
15,MIZORAM,2020,10,51,522,11.03,79,274,32.65,"1,718","24,596",375.52
16,TRIPURA,2020,10,"1,072","24,077",461.75,369,"2,292",226.76,"3,921","35,630",779.77
17,MEGHALAYA,2020,10,281,"12,398",206.49,410,"28,597",531.69,"3,097","41,381",757.84
18,ASSAM,2020,10,"10,813","412,819","7,629.89","8,992","199,974","6,536.14","23,927","300,265","9,005.32"
19,WEST BENGAL,2020,10,"36,903","1,439,117","37,023.12","36,880","718,399","27,683.19","58,066","981,167","35,537.45"
20,JHARKHAND,2020,10,"8,429","421,855","9,110.43","7,339","198,663","11,428.91","25,503","377,345","10,993.41"
21,ODISHA,2020,10,"12,531","712,499","13,662.81","5,395","227,198","18,629.72","30,589","381,147","12,825.96"
22,CHHATTISGARH,2020,10,"5,239","222,723","5,735.00","7,641","168,885","11,438.06","23,149","396,650","12,879.83"
23,MADHYA PRADESH,2020,10,"16,542","492,332","9,878.56","19,709","433,761","18,989.13","72,079","982,319","26,732.50"
